Model,Model Family
meta-llama/Llama-2-7b-hf,Llama-2
meta-llama/Llama-2-13b-hf,Llama-2
meta-llama/Llama-2-70b-hf,Llama-2
huggyllama/llama-7b,Llama
huggyllama/llama-13b,Llama
huggyllama/llama-30b,Llama
huggyllama/llama-65b,Llama
meta-llama/Meta-Llama-3-70B,Llama-3
meta-llama/Meta-Llama-3-8B,Llama-3
meta-llama/Meta-Llama-3.1-405B-FP8,Llama-3.1
meta-llama/Meta-Llama-3.1-70B,Llama-3.1
meta-llama/Meta-Llama-3.1-8B,Llama-3.1
Qwen/Qwen1.5-110B,Qwen1.5
Qwen/Qwen1.5-72B,Qwen1.5
Qwen/Qwen1.5-32B,Qwen1.5
Qwen/Qwen1.5-14B,Qwen1.5
Qwen/Qwen1.5-7B,Qwen1.5
Qwen/Qwen1.5-4B,Qwen1.5
Qwen/Qwen1.5-1.8B,Qwen1.5
Qwen/Qwen1.5-0.5B,Qwen1.5
Qwen/Qwen-72B,Qwen
Qwen/Qwen-14B,Qwen
Qwen/Qwen-7B,Qwen
Qwen/Qwen2-72B,Qwen2
Qwen/Qwen2-57B-A14B,Qwen2
Qwen/Qwen2-7B,Qwen2
Qwen/Qwen2-1.5B,Qwen2
Qwen/Qwen2-0.5B,Qwen2
mistralai/Mistral-7B-v0.1,Mistral
mistralai/Mixtral-8x7B-v0.1,Mixtral
mistralai/Mixtral-8x22B-v0.1,Mixtral
mistralai/Mistral-Nemo-Base-2407,Mistral
deepseek-ai/DeepSeek-V2,DeepSeek-V2
deepseek-ai/DeepSeek-Coder-V2-Base,DeepSeek-Coder-V2
01-ai/Yi-6B,Yi
01-ai/Yi-34B,Yi
01-ai/Yi-1.5-34B,Yi-1.5
01-ai/Yi-1.5-9B,Yi-1.5
01-ai/Yi-1.5-6B,Yi-1.5
google/gemma-7b,Gemma
google/gemma-2b,Gemma
google/gemma-2-27b,Gemma-2
google/gemma-2-9b,Gemma-2
google/gemma-2-2b,Gemma-2
ai21labs/Jamba-v0.1,Jamba
tiiuae/falcon-180B,Falcon
tiiuae/falcon-40b,Falcon
tiiuae/falcon-7b,Falcon
tiiuae/falcon-rw-1b,Falcon
microsoft/phi-2,Phi
microsoft/phi-1_5,Phi
EleutherAI/pythia-1b-deduped,Pythia
